rid,cm
6,1518
6,1519
6,1522
6,1534
6,1540
6,1553
6,1564
6,1577
6,1593
6,1597
6,1599
7,0
7,19
7,28
7,40
7,87
7,115
7,136
7,138
7,145
7,192
7,196
7,213
7,234
7,264
7,274
7,304
7,312
7,317
7,321
7,332
7,333
7,335
7,359
7,361
7,388
7,394
7,396
7,398
7,417
7,427
7,440
7,450
7,455
7,470
7,471
7,473
7,478
7,496
7,501
7,505
7,514
7,516
7,563
7,567
7,569
7,614
7,618
7,623
7,637
7,640
7,647
7,662
7,668
7,691
7,693
7,696
7,701
7,705
7,738
7,746
7,747
7,750
7,751
7,792
7,824
7,863
7,878
7,896
7,901
7,903
7,927
7,932
7,957
7,966
7,968
7,1013
7,1030
7,1034
7,1047
7,1052
7,1065
7,1106
7,1119
7,1120
7,1127
7,1128
7,1136
7,1141
7,1150
7,1158
7,1168
7,1185
7,1200
7,1231
7,1244
7,1256
7,1260
7,1266
7,1279
7,1294
7,1306
7,1363
7,1365
7,1419
7,1449
7,1450
7,1456
7,1460
7,1468
7,1473
7,1480
7,1503
7,1510
7,1512
7,1514
7,1520
7,1544
7,1547
7,1553
7,1566
7,1573
7,1585
